#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:852495	entrez gene/locuslink:948461	biogrid:32893|entrez gene/locuslink:PGI1|entrez gene/locuslink:YBR196C	biogrid:852757|entrez gene/locuslink:sthA|entrez gene/locuslink:b3962	entrez gene/locuslink:CDC30(gene name synonym)|entrez gene/locuslink:L000001409(gene name synonym)|entrez gene/locuslink:L000001410(gene name synonym)|entrez gene/locuslink:glucose-6-phosphate isomerase(gene name synonym)	entrez gene/locuslink:ECK3954(gene name synonym)|entrez gene/locuslink:JW5551(gene name synonym)|entrez gene/locuslink:sth(gene name synonym)|entrez gene/locuslink:udhA(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Heux S (2008)"	pubmed:18036177	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:263839	-
entrez gene/locuslink:2541704	entrez gene/locuslink:948559	biogrid:278199|entrez gene/locuslink:atl1|entrez gene/locuslink:SPAC1250.04c	biogrid:852853|entrez gene/locuslink:uvrA|entrez gene/locuslink:b4058	-	entrez gene/locuslink:ECK4050(gene name synonym)|entrez gene/locuslink:JW4019(gene name synonym)|entrez gene/locuslink:dar(gene name synonym)	psi-mi:"MI:0047"(far western blotting)	"Tubbs JL (2009)"	pubmed:19516334	taxid:284812	taxid:511145	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:338619	-
entrez gene/locuslink:851775	entrez gene/locuslink:947055	biogrid:32246|entrez gene/locuslink:MSS116|entrez gene/locuslink:YDR194C	biogrid:851393|entrez gene/locuslink:srmB|entrez gene/locuslink:b2576	entrez gene/locuslink:L000001206(gene name synonym)	entrez gene/locuslink:ECK2574(gene name synonym)|entrez gene/locuslink:JW2560(gene name synonym)|entrez gene/locuslink:rbaB(gene name synonym)|entrez gene/locuslink:rhlA(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Del Campo M (2009)"	pubmed:19393667	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:343119	-
entrez gene/locuslink:851493	entrez gene/locuslink:947092	biogrid:31993|entrez gene/locuslink:IDP1|entrez gene/locuslink:YDL066W	biogrid:851428|entrez gene/locuslink:nadK|entrez gene/locuslink:b2615	entrez gene/locuslink:L000000852(gene name synonym)|entrez gene/locuslink:"isocitrate dehydrogenase (NADP(+)) IDP1"(gene name synonym)	entrez gene/locuslink:ECK2611(gene name synonym)|entrez gene/locuslink:JW2596(gene name synonym)|entrez gene/locuslink:yfjB(gene name synonym)|entrez gene/locuslink:yfjE(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Miyagi H (2009)"	pubmed:19158096	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:344103	-
entrez gene/locuslink:853839	entrez gene/locuslink:947092	biogrid:34102|entrez gene/locuslink:MAE1|entrez gene/locuslink:YKL029C	biogrid:851428|entrez gene/locuslink:nadK|entrez gene/locuslink:b2615	entrez gene/locuslink:L000003506(gene name synonym)|entrez gene/locuslink:"malate dehydrogenase (oxaloacetate-decarboxylating)"(gene name synonym)	entrez gene/locuslink:ECK2611(gene name synonym)|entrez gene/locuslink:JW2596(gene name synonym)|entrez gene/locuslink:yfjB(gene name synonym)|entrez gene/locuslink:yfjE(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Miyagi H (2009)"	pubmed:19158096	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:344105	-
entrez gene/locuslink:855913	entrez gene/locuslink:947092	biogrid:35995|entrez gene/locuslink:POS5|entrez gene/locuslink:YPL188W	biogrid:851428|entrez gene/locuslink:nadK|entrez gene/locuslink:b2615	entrez gene/locuslink:L000002651(gene name synonym)	entrez gene/locuslink:ECK2611(gene name synonym)|entrez gene/locuslink:JW2596(gene name synonym)|entrez gene/locuslink:yfjB(gene name synonym)|entrez gene/locuslink:yfjE(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Miyagi H (2009)"	pubmed:19158096	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:344106	-
entrez gene/locuslink:856804	entrez gene/locuslink:947092	biogrid:36816|entrez gene/locuslink:ALD5|entrez gene/locuslink:YER073W	biogrid:851428|entrez gene/locuslink:nadK|entrez gene/locuslink:b2615	entrez gene/locuslink:L000004949(gene name synonym)|entrez gene/locuslink:"aldehyde dehydrogenase (NAD(P)(+)) ALD5"(gene name synonym)	entrez gene/locuslink:ECK2611(gene name synonym)|entrez gene/locuslink:JW2596(gene name synonym)|entrez gene/locuslink:yfjB(gene name synonym)|entrez gene/locuslink:yfjE(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Miyagi H (2009)"	pubmed:19158096	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:344110	-
entrez gene/locuslink:947077	entrez gene/locuslink:855744	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:35835|entrez gene/locuslink:CSE2|entrez gene/locuslink:YNR010W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000000426(gene name synonym)|entrez gene/locuslink:MED9(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344537	-
entrez gene/locuslink:947077	entrez gene/locuslink:854106	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:34353|entrez gene/locuslink:GAL11|entrez gene/locuslink:YOL051W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:ABE1(gene name synonym)|entrez gene/locuslink:L000000664(gene name synonym)|entrez gene/locuslink:MED15(gene name synonym)|entrez gene/locuslink:RAR3(gene name synonym)|entrez gene/locuslink:SDS4(gene name synonym)|entrez gene/locuslink:SPT13(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344538	-
entrez gene/locuslink:947077	entrez gene/locuslink:856183	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:36242|entrez gene/locuslink:MED1|entrez gene/locuslink:YPR070W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	-	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344539	-
entrez gene/locuslink:947077	entrez gene/locuslink:855139	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:35288|entrez gene/locuslink:MED11|entrez gene/locuslink:YMR112C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000004634(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344540	-
